lno2,       lc,         t2,       ws,     td25,    wd,       hd,    dn
3.71844,    7.69120,     09.2,    4.8,    -0.1,    074.4,    20,    600
3.10009,    7.69894,     06.4,    3.5,    -0.3,    056.0,    14,    196
3.31419,    4.81218,    -03.7,    0.9,    -0.1,    281.3,    04,    513
4.38826,    6.95177,    -07.2,    1.7,     1.2,    074.0,    23,    143
4.34640,    7.51806,    -01.3,    2.6,    -0.1,    065.0,    11,    115
4.16044,    7.67183,     02.6,    1.6,     0.3,    224.2,    19,    527
4.01277,    5.52545,    -07.9,    1.6,     0.3,    211.9,    05,    502
2.15176,    4.68213,    -04.1,    3.8,    -0.1,    063.1,    04,    453
3.15700,    7.15618,    -12.7,    5.2,    -0.1,    064.5,    12,    462
2.37955,    4.74493,    -01.6,    3.0,     0.4,    058.3,    03,    554
3.83298,    5.81114,    -03.1,    1.8,     0.3,    078.0,    02,    055
4.48187,    8.10892,     01.0,    1.2,     1.5,    215.0,    18,    047
4.04830,    8.31385,     12.2,    4.0,    -2.8,    230.4,    17,    572
4.00186,    5.22036,    -01.5,    2.4,     0.9,    082.7,    05,    556
3.23080,    6.40853,    -00.9,    3.0,     0.1,    235.0,    01,    069
4.67189,    7.31920,    -08.5,    0.8,     2.9,    282.4,    20,    447
2.73437,    6.61740,     06.5,    4.1,     0.0,    088.0,    24,    186
3.49651,    7.76938,     04.2,    7.1,    -1.1,    009.3,    10,    550
3.67122,    6.46770,    -01.1,    2.5,     1.0,    277.0,    06,    142
3.67377,    7.65064,     00.8,    3.4,    -0.4,    070.0,    12,    167
3.15274,    7.75061,     08.2,    4.5,     0.2,    307.0,    14,    032
3.42751,    5.18178,     00.2,    0.4,     0.2,    230.0,    05,    112
4.32413,    7.63964,    -02.1,    4.3,    -0.2,    041.4,    11,    432
3.65584,    8.00703,    -02.8,    6.0,    -0.2,    062.5,    15,    453
3.93183,    7.75319,    -05.4,    2.5,     1.4,    083.0,    20,    098
2.28238,    4.65396,    -05.7,    4.9,    -0.1,    058.5,    04,    409
4.13035,    6.67582,     06.6,    1.6,     0.4,    104.5,    23,    579
3.77963,    7.79688,     05.7,    4.8,    -1.5,    223.0,    11,    178
3.97968,    8.02224,     13.8,    0.8,    -0.1,    201.6,    17,    602
3.75420,    7.48829,     03.2,    4.2,    -0.6,    285.0,    12,    121
3.45632,    7.75148,     02.1,    4.9,     0.2,    149.0,    19,    060
2.36085,    6.12468,     05.3,    3.2,     0.0,    073.0,    01,    209
4.23411,    7.71244,     07.5,    1.8,    -2.7,    273.9,    12,    530
2.21920,    7.56941,     10.7,    3.1,    -0.9,    056.0,    13,    189
4.53475,    7.35947,    -09.6,    1.3,     0.1,    064.6,    21,    437
2.10413,    7.99564,     03.2,    6.5,     0.0,    042.8,    18,    553
4.58190,    8.30251,     03.5,    0.5,    -2.2,    207.9,    08,    535
4.03247,    5.95584,     06.7,    1.1,     0.6,    089.9,    05,    605
3.21084,    6.74052,    -06.4,    2.8,    -0.1,    077.0,    22,    084
4.04655,    6.45205,    -03.0,    0.6,     1.7,    057.0,    06,    073
3.94546,    6.39359,    -13.4,    4.4,    -0.1,    080.0,    06,    095
3.89182,    7.16317,     01.4,    0.9,     0.2,    274.0,    10,    076
3.22287,    7.64300,     08.5,    4.3,    -0.2,    322.0,    13,    032
3.35690,    5.93754,    -02.8,    2.1,    -0.2,    065.0,    01,    124
3.31782,    7.61923,     16.6,    4.8,    -1.1,    136.9,    14,    595
3.81551,    8.34854,     02.7,    7.7,     0.1,    219.0,    17,    159
3.45632,    8.12740,     19.1,    5.1,    -1.2,    266.6,    16,    603
2.66723,    6.83626,     07.8,    7.5,     0.8,    220.0,    21,    034
3.76815,    5.27811,     01.5,    3.3,     1.6,    251.0,    05,    156
2.87356,    5.68358,     00.3,    2.1,     1.1,    220.4,    05,    538
3.48431,    7.76004,    -07.3,    0.5,    -0.3,    176.0,    13,    084
2.92852,    6.30079,    -01.6,    2.0,     0.1,    289.1,    07,    510
3.32143,    5.52146,     01.1,    1.0,     0.2,    009.0,    05,    113
4.35543,    7.79811,     16.1,    1.7,    -0.2,    246.1,    19,    570
3.73290,    6.14419,    -07.9,    1.2,     0.3,    056.0,    11,    086
2.70805,    6.54965,     01.1,    2.8,     0.0,    066.0,    24,    059
2.42480,    5.64545,     00.3,    7.1,    -0.1,    069.5,    02,    425
3.45632,    6.63200,     04.1,    3.9,     0.3,    212.0,    06,    106
4.26127,    7.64012,     05.9,    2.4,     2.6,    249.0,    16,    048
2.57261,    6.86589,    -06.8,    6.9,    -0.1,    050.0,    10,    090
3.79549,    6.68960,     00.3,    0.6,     0.7,    252.0,    21,    104
4.08429,    7.36771,     01.8,    1.7,     0.7,    091.0,    22,    140
5.11259,    7.62560,    -07.9,    1.0,    -0.2,    188.9,    12,    443
3.37417,    5.50533,     03.4,    6.3,     0.6,    186.0,    02,    475
4.13035,    8.06778,     03.9,    2.8,    -0.1,    043.5,    18,    576
4.35927,    7.76345,     09.2,    5.7,    -0.9,    199.0,    14,    212
4.27667,    8.25713,     11.0,    5.5,    -1.0,    216.0,    17,    193
2.69463,    5.57595,    -03.5,    4.6,    -0.1,    062.3,    05,    418
4.04655,    7.93487,     09.7,    1.8,    -0.6,    255.5,    15,    529
3.91202,    6.32972,     01.5,    1.6,     0.5,    275.0,    24,    114
3.19458,    4.83628,     02.0,    1.7,    -0.1,    063.1,    04,    549
4.01998,    7.78322,     03.7,    2.2,     0.0,    040.5,    19,    576
